1depth,2depth,3depth,페이지명칭,TYPE,SCREEN ID,Released,Modified
메인,,,제로페이 메인페이지,PAGE,UI_HP_001,2021-08-01,
My ZEROPAY,My ZEROPAY,,My ZEROPAY,PAGE,UI_HP_002,,
가맹점관리,가맹점 신청,,,PAGE,UI_HP_003_01,,
가맹점관리,매장정보관리,,,PAGE,UI_HP_003_02,,
가맹점관리,직원관리,,,PAGE,UI_HP_003_03,,
매출관리,매출,결제내역조회,,PAGE,UI_HP_004_01,,
매출관리,매출,정산내역조회,,PAGE,UI_HP_004_02,,
매출관리,세무관리,부과세내역조회,,PAGE,UI_HP_004_03,,
혜택 가이드,결제APP,,,PAGE,UI_HP_004_01_02,2021-08-02,
혜택 가이드,사장님 꿀팁,,,PAGE,UI_HP_004_02_01,2021-08-03,
혜택 가이드,이벤트,,,PAGE,UI_HP_004_04_01,2021-08-04,
고객센터,공지사항,,,PAGE,UI_HP_008_01_01,2021-08-05,
고객센터,자주묻는질문,전체,,PAGE,UI_HP_008_01_02,2021-08-06,
고객센터,자주묻는질문,가맹점신청,,PAGE,UI_HP_008_01_02,2021-08-06,
고객센터,자주묻는질문,가맹점관리,,PAGE,UI_HP_008_01_02,2021-08-06,
고객센터,자주묻는질문,결제,,PAGE,UI_HP_008_01_02,2021-08-06,
고객센터,자주묻는질문,QR코드,,PAGE,UI_HP_008_01_02,2021-08-06,
고객센터,자주묻는질문,앱 이용,,PAGE,UI_HP_008_01_02,2021-08-06,
고객센터,재단소개,,,PAGE,UI_HP_008_01_04,2021-08-07,